ENTIDADE;NUM_NOTICIA;DATA;HORA;VEÍCULO;ESTADO;TITULO;LINK
 CNI;1;21/09/2018 ;19:37:07; InfoMoney - Online ; BR; Debate, pesquisas e mais 2 eventos que vão definir o rumo do mercado na próxima semana;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537567846007
 CNI;2;21/09/2018 ;19:37:07; A Tribuna News ; MS; Empresário da indústria está menos confiante, diz CNI;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537551617003
 CNI;3;21/09/2018 ;19:37:07; TV Brasil ; BR; Confiança industrial cede em setembro (07h01);http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537539862001
 CNI;4;21/09/2018 ;19:37:07; Portal BR18 ; SP; A Opinião do Estadão: Juros, inflação e risco eleitoral;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537563208001
 CNI;5;21/09/2018 ;19:37:07; CenárioMT online ; MT; Confiança do consumidor paulistano avança pelo segundo mês consecutivo;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537563557010
 CNI;6;21/09/2018 ;19:37:07; Diário do Comércio Online ; MG; Industrial brasileiro não sinaliza avanço na produção;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537532030003
 CNI;7;21/09/2018 ;19:37:07; Fato Online ; DF; Empresário da indústria está menos confiante, diz CNI;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537533145013
 CNI;8;21/09/2018 ;19:37:07; Estado de Minas - Online ; MG; Cai a confiança da indústria;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537522072007
 CNI;9;21/09/2018 ;19:37:07; Valor Econômico ; BR; Falta de concorrência é um entrave à ampliação da oferta;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537509061002
 CNI;10;21/09/2018 ;19:37:07; Valor Econômico ; BR; Curtas;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537507636002
 CNI;11;21/09/2018 ;19:37:07; Valor Econômico ; BR; Concentração da oferta eleva os preços do gás natural no país;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537509007002
 CNI;12;21/09/2018 ;19:37:07; Estado de Minas ; MG; Cai a confiança da indústria;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537520357004
 CNI;13;21/09/2018 ;19:37:07; O Estado de S. Paulo ; BR; Juros, inflação e risco eleitoral;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537505539002
 CNI;14;21/09/2018 ;19:37:07; O Estado de S. Paulo ; BR; Abertura através de acordos de compras públicas;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537506721002
 CNI;15;21/09/2018 ;19:37:07; O Estado do Maranhão ; MA; Invalidez e plano de saúde;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537503617004
 CNI;16;21/09/2018 ;19:37:07; Tribuna do Norte - Natal ; RN; Confiança da indústria volta a cair em setembro;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537554995004
 CNI;17;21/09/2018 ;19:37:07; Meio Norte ; PI; Índice de confiança do empresário recua;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537559200002
 CNI;18;21/09/2018 ;19:37:07; Diário Catarinense ; SC; Os influenciadores;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537546653005
 CNI;19;21/09/2018 ;19:37:07; Valor Online ; BR; Curtas;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537547962007
 CNI;20;21/09/2018 ;19:37:07; Diário de Cuiabá Online ; MT; Com incentivo e buscando pacificação;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537567539005
 CNI;21;21/09/2018 ;19:37:07; O Liberal ; PA; Industrial está menos confiante;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537534775004
 CNI;22;21/09/2018 ;19:37:07; DCI - Comércio, Indústria e Serviços ; SP; Confiança da indústria cai em setembro;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537524715002
 CNI;23;21/09/2018 ;19:37:07; Diário do Comércio - MG ; MG; Industrial brasileiro não sinaliza avanço na produção;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537553326002
 CNI;24;21/09/2018 ;19:37:07; Estadão.com.br - Últimas notícias ; BR; Abertura através de acordos de compras públicas;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537514702003
 CNI;25;21/09/2018 ;19:37:07; DCI Online ; SP; Confiança da indústria cai em setembro;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537517383001
 CNI;26;21/09/2018 ;19:37:07; Estadão.com.br - Últimas notícias ; BR; Juros, inflação e risco eleitoral;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537511101001
 CNI;27;21/09/2018 ;19:37:07; A Gazeta Online - ES ; ES; Entenda o que são e para "onde vão" os votos nulos e brancos;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537558245006
 CNI;28;21/09/2018 ;19:37:07; Tribuna do Norte Online - Natal ; RN; Intenção de voto;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537545975006
 CNI;29;21/09/2018 ;19:37:07; Tribuna do Norte Online - Natal ; RN; Confiança da indústria volta a cair em setembro;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537491332004
 CNI;30;21/09/2018 ;19:37:07; Agência CNI ; BR; VÍDEO: Minuto da Indústria mostra que empresários estão menos confiantes;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537527946002
 CNI;31;21/09/2018 ;19:37:07; Agência CNI ; BR; Cursos do SENAI estão com matrículas abertas;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537533977004
 CNI;32;21/09/2018 ;19:37:07; Campo Grande News ; MS; Brasil-Argentina: efeitos da crise;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537563403008
 CNI;33;21/09/2018 ;19:37:07; Intelog ; RS; Brasil-Argentina: efeitos da crise;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537532930010
 CNI | Vice-Presidência | Paulo Skaf;1;21/09/2018 ;19:37:07; Diário do Grande ABC ; SP; Doria diz avaliar possibilidade de Estado assumir Hospital Nardini;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537529000010
 CNI | Eventos | Encontro com Presidenciáveis;1;21/09/2018 ;19:37:07; Globo News ; BR; Campanha dos presidenciáveis pelo Brasil (05h37);http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537545994001
 CNI | Eventos | Encontro com Presidenciáveis;2;21/09/2018 ;19:37:07; Band TV Nacional ; BR; Haddad tem confrontos com Alckmin e Meirelles em debate (08h12);http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537547782008
 CNI | Indústria 4.0;1;21/09/2018 ;19:37:07; Revista IstoÉ Dinheiro ; BR; De olho no mercado de trabalho do futuro;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537504669001
 SENAI;1;21/09/2018 ;19:37:07; Paranashop ; PR; Dupla de estudantes paranaenses é finalista do concurso SENAI Brasil Fashion 2018;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537546435002
 SENAI;2;21/09/2018 ;19:37:07; Camaçari Notícias Online ; BA; Programação da 1ª Semana de Inovação Ford América do Sul em Camaçari;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537560960005
 SENAI;3;21/09/2018 ;19:37:07; G1 - Globo ; BR; Julio Lossio promete criar incentivos em PE para manter estudantes no ensino médio;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537564606024
 SENAI;4;21/09/2018 ;19:37:07; O Popular ; GO; Jávier Godinho, "escriba" de fé;http://cni.empauta.com/e2/standard/noticia/mostra_noticia_e2.php?cod_noticia=1809211537502506008
